epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9729,0.7081,3.06401,1.12472,0.00401,1,0.35134,0.21619,0.58962,3.63074,1.29295,0.00034296,0.00034296,0.00034296
2,30.4458,0.60744,2.35324,1.04937,0.11623,0.70238,0.46108,0.33923,0.78251,3.27379,1.59299,0.000677103,0.000677103,0.000677103
3,45.1826,0.60606,2.11163,1.02945,0.34808,0.42857,0.44988,0.37451,0.66159,3.0949,1.36332,0.000987668,0.000987668,0.000987668
4,60.0379,0.58454,1.8959,1.00558,0.57947,0.25,0.24178,0.20791,0.89466,3.38852,1.64157,0.00127465,0.00127465,0.00127465
5,75.0786,0.57878,1.90216,0.99292,0.59501,0.72329,0.69358,0.44326,1.02246,2.84544,2.10239,0.00124037,0.00124037,0.00124037
6,89.6806,0.57733,1.85892,0.98423,0.3544,0.66962,0.36227,0.23058,0.98632,3.31031,1.81515,0.00119322,0.00119322,0.00119322
7,103.887,0.63965,1.74019,1.03504,0.68308,0.44533,0.54413,0.31038,0.99844,3.34667,2.07039,0.00114606,0.00114606,0.00114606
8,118.656,0.59851,1.66541,1.01819,0.49688,0.63329,0.6644,0.33062,1.16846,4.1898,2.28831,0.0010989,0.0010989,0.0010989
9,133.576,0.5483,1.5526,0.98649,0.39343,0.66497,0.59361,0.31576,1.19575,3.81918,2.07905,0.00105174,0.00105174,0.00105174
10,148.486,0.64389,1.46585,1.05347,0.68524,0.46917,0.63601,0.38447,1.26652,3.22681,2.23504,0.00100459,0.00100459,0.00100459
