epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7595,0.6487,3.78985,1.16625,0.00415,1,0.50871,0.39671,0.41662,3.02886,1.15967,0.00017148,0.00017148,0.00017148
2,22.9812,0.57034,2.87919,1.08677,0.00373,1,0.52384,0.34229,0.67242,2.85717,1.49641,0.000321882,0.000321882,0.000321882
3,24.1557,0.53543,2.32591,1.02226,0.0039,1,0.45852,0.35582,0.56219,2.86045,1.26116,0.000435502,0.000435502,0.000435502
4,25.3172,0.58806,2.28012,1.10822,0.00383,1,0.36783,0.23098,0.88098,3.0259,1.51277,0.000512339,0.000512339,0.000512339
5,26.4031,0.48504,1.8927,0.96351,0.00321,0.91667,0.38677,0.23922,0.81611,2.80751,1.55775,0.000552394,0.000552394,0.000552394
6,27.4697,0.48199,1.83169,0.97411,0.39911,0.58404,0.41489,0.20911,1.23504,2.54533,2.27929,0.000555667,0.000555667,0.000555667
7,28.6377,0.47813,1.68299,0.94984,0.48743,0.63615,0.57656,0.33582,1.07555,2.46086,2.10134,0.000522157,0.000522157,0.000522157
8,29.6912,0.45691,1.53236,0.94874,0.52207,0.54385,0.66628,0.42135,1.05104,2.36976,2.03136,0.000438703,0.000438703,0.000438703
9,30.7611,0.44325,1.535,0.91738,0.78466,0.50223,0.67995,0.47326,0.88721,2.22806,1.82736,0.000297232,0.000297232,0.000297232
10,31.8352,0.40553,1.62241,0.92433,0.87812,0.5119,0.70379,0.49478,0.88352,2.1405,1.87335,0.000155761,0.000155761,0.000155761
